,170,603,601,690,637,704,701,714,XLK,XLV,XOP,QQQ,SHV,273011,695437,593038,LMB,AGM,TDS,MCD,FMY,EOI
,closingIndexPrice,closingIndexPrice,closingIndexPrice,closingIndexPrice,closingIndexPrice,closingIndexPrice,closingIndexPrice,closingIndexPrice,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,closingPrice,closingPrice,closingPrice,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close
2014-10-09,,,,,,,,,34.4184684753418,54.06854248046875,203.80291748046875,89.57537078857422,95.55439758300781,,,,9.539999961853027,23.903188705444336,16.75687026977539,72.11598205566406,8.468199729919434,6.445802688598633
2014-10-10,,,,,,,,,33.53707504272461,53.735748291015625,198.10421752929688,87.3374252319336,95.54574584960938,,,,9.539999961853027,24.110271453857422,16.295066833496094,71.789306640625,8.350276947021484,6.27880859375
2014-10-12,1340.69,300.93,330.66,386.54,244.37,554.24,279.66,339.39,,,,,,14600.0,4456.0,5593.0,,,,,,
2014-10-13,1344.1,300.86,330.56,386.52,244.25,554.26,279.67,339.02,33.1668815612793,52.4642448425293,186.5045623779297,85.96870422363281,95.55439758300781,14730.0,4500.0,5641.0,9.539999961853027,24.324748992919922,16.419689178466797,70.56819152832031,8.316581726074219,6.130904674530029
2014-10-14,1321.31,300.8,330.98,387.34,244.24,556.71,279.66,338.64,33.21976089477539,52.07170867919922,183.40240478515625,85.97793579101562,95.55439758300781,14710.0,4490.0,5596.0,9.539999961853027,24.26559066772461,16.47832679748535,70.8559799194336,8.339045524597168,6.030712127685547
2014-10-15,,,,,,,,,32.990596771240234,51.64501953125,191.02304077148438,85.42305755615234,95.53710174560547,,,,9.539999961853027,23.03787612915039,17.006093978881836,70.34264373779297,8.310964584350586,5.925744533538818
2014-10-16,,,,,,,,,32.796714782714844,51.3804817199707,200.05995178222656,84.8866958618164,95.53710174560547,,,,9.539999961853027,23.511211395263672,17.152708053588867,69.93040466308594,8.310964584350586,5.992541790008545
2014-10-17,,,,,,,,,33.18451690673828,52.199703216552734,194.86717224121094,86.00566864013672,95.53710174560547,,,,9.539999961853027,23.134023666381836,17.152708053588867,70.80929565429688,8.423272132873535,6.173841953277588
2014-10-19,1317.17,300.76,331.13,387.87,244.04,558.48,279.62,338.69,,,,,,14600.0,4456.0,5600.0,,,,,,
2014-10-20,1312.73,300.43,330.76,387.48,244.01,557.3,279.57,338.23,33.422481536865234,52.8311882019043,197.46356201171875,87.29117584228516,95.55439758300781,14690.0,4454.0,5616.0,9.539999961853027,22.96392059326172,17.636499404907227,71.2370834350586,8.456971168518066,6.221555709838867
