,658,690,637,XLK,SHV,700,704,QQQ,IEI,LQD,GLD,127,143,603,702,712,170,OIL,701
,closingIndexPrice,closingIndexPrice,closingIndexPrice,Adj Close,Adj Close,closingIndexPrice,closingIndexPrice,Adj Close,Adj Close,Adj Close,Adj Close,closingIndexPrice,closingIndexPrice,closingIndexPrice,closingIndexPrice,closingIndexPrice,closingIndexPrice,Adj Close,closingIndexPrice
2014-07-29,339.67,377.41,245.0,34.91132354736328,95.95036315917969,427.49,530.0,89.26456451416016,103.81550598144531,86.1344985961914,125.19999694824219,1905.13,870.79,297.05,319.65,317.26,1342.45,44.419498443603516,278.89
2014-07-30,338.58,376.82,244.99,34.946495056152344,95.94168853759766,426.7,528.61,89.61573791503906,103.49063110351562,85.73783111572266,124.83000183105469,1902.68,872.66,296.74,319.61,316.92,1341.76,44.11109924316406,278.91
2014-07-31,337.22,376.19,245.04,34.2871208190918,95.94168853759766,425.88,526.28,87.80455780029297,103.52483367919922,85.49983978271484,123.38999938964844,1900.11,864.17,296.25,319.65,316.22,1333.0,43.499698638916016,278.88
2014-08-01,,,,34.102516174316406,95.95036315917969,,,87.48114776611328,103.96038818359375,85.94032287597656,124.37999725341797,,,,,,,42.96099853515625,
2014-08-03,337.95,376.92,245.0,,,426.84,528.17,,,,,1904.42,864.02,296.84,319.79,316.82,1334.18,,278.9
2014-08-04,337.65,377.09,244.89,34.34867477416992,95.95036315917969,427.06,528.64,88.0817642211914,104.05451202392578,85.96198272705078,123.98999786376953,1908.09,863.77,296.7,319.78,316.64,1339.45,43.527400970458984,278.9
2014-08-05,,,,34.023380279541016,95.94168853759766,,,87.40721893310547,104.03738403320312,86.04883575439453,123.87000274658203,,,,,,,43.30039978027344,
2014-08-06,336.71,376.89,244.76,33.917877197265625,95.95036315917969,426.81,527.95,87.342529296875,104.08012390136719,85.89691162109375,125.66999816894531,1906.34,856.38,296.34,319.86,316.21,1335.69,43.17279815673828,278.88
2014-08-07,336.49,376.93,244.73,33.77720260620117,95.95036315917969,426.89,528.17,87.06529998779297,104.28555297851562,86.12112426757812,126.18000030517578,1884.64,855.13,296.09,319.84,315.75,1324.39,43.39339828491211,278.82
2014-08-08,,,,33.99700927734375,95.95906829833984,,,87.69367218017578,104.2256851196289,86.09947967529297,126.19000244140625,,,,,,,43.406898498535156,
